registros,natureza,municipio,cod_municipio,mes,ano,risp,rmbh
0,Sequestro e Cárcere Privado Tentado,UBERLANDIA,317020,6,2019,9,NÃO
2,Estupro Consumado,UBERLANDIA,317020,7,2019,9,NÃO
3,Estupro de Vulnerável Consumado,UBERLANDIA,317020,7,2019,9,NÃO
0,Estupro de Vulnerável Tentado,UBERLANDIA,317020,7,2019,9,NÃO
0,Estupro Tentado,UBERLANDIA,317020,7,2019,9,NÃO
1,Extorsão Consumado,UBERLANDIA,317020,7,2019,9,NÃO
1,Extorsão Mediante Sequestro Consumado,UBERLANDIA,317020,7,2019,9,NÃO
0,Extorsão Tentado,UBERLANDIA,317020,7,2019,9,NÃO
6,Homicídio Tentado,UBERLANDIA,317020,7,2019,9,NÃO
217,Roubo Consumado,UBERLANDIA,317020,7,2019,9,NÃO
24,Roubo Tentado,UBERLANDIA,317020,7,2019,9,NÃO
1,Sequestro e Cárcere Privado Consumado,UBERLANDIA,317020,7,2019,9,NÃO
0,Sequestro e Cárcere Privado Tentado,UBERLANDIA,317020,7,2019,9,NÃO
1,Estupro Consumado,UBERLANDIA,317020,8,2019,9,NÃO
5,Estupro de Vulnerável Consumado,UBERLANDIA,317020,8,2019,9,NÃO
0,Estupro de Vulnerável Tentado,UBERLANDIA,317020,8,2019,9,NÃO
0,Estupro Tentado,UBERLANDIA,317020,8,2019,9,NÃO
1,Extorsão Consumado,UBERLANDIA,317020,8,2019,9,NÃO
0,Extorsão Mediante Sequestro Consumado,UBERLANDIA,317020,8,2019,9,NÃO
0,Extorsão Tentado,UBERLANDIA,317020,8,2019,9,NÃO
0,Homicídio Tentado,UBERLANDIA,317020,8,2019,9,NÃO
230,Roubo Consumado,UBERLANDIA,317020,8,2019,9,NÃO
8,Roubo Tentado,UBERLANDIA,317020,8,2019,9,NÃO
1,Sequestro e Cárcere Privado Consumado,UBERLANDIA,317020,8,2019,9,NÃO
0,Sequestro e Cárcere Privado Tentado,UBERLANDIA,317020,8,2019,9,NÃO
3,Estupro Consumado,UBERLANDIA,317020,9,2019,9,NÃO
9,Estupro de Vulnerável Consumado,UBERLANDIA,317020,9,2019,9,NÃO
1,Estupro de Vulnerável Tentado,UBERLANDIA,317020,9,2019,9,NÃO
0,Estupro Tentado,UBERLANDIA,317020,9,2019,9,NÃO
0,Extorsão Consumado,UBERLANDIA,317020,9,2019,9,NÃO
0,Extorsão Mediante Sequestro Consumado,UBERLANDIA,317020,9,2019,9,NÃO
0,Extorsão Tentado,UBERLANDIA,317020,9,2019,9,NÃO
10,Homicídio Tentado,UBERLANDIA,317020,9,2019,9,NÃO
215,Roubo Consumado,UBERLANDIA,317020,9,2019,9,NÃO
17,Roubo Tentado,UBERLANDIA,317020,9,2019,9,NÃO
0,Sequestro e Cárcere Privado Consumado,UBERLANDIA,317020,9,2019,9,NÃO
0,Sequestro e Cárcere Privado Tentado,UBERLANDIA,317020,9,2019,9,NÃO
2,Estupro Consumado,UBERLANDIA,317020,10,2019,9,NÃO
4,Estupro de Vulnerável Consumado,UBERLANDIA,317020,10,2019,9,NÃO
0,Estupro de Vulnerável Tentado,UBERLANDIA,317020,10,2019,9,NÃO
1,Estupro Tentado,UBERLANDIA,317020,10,2019,9,NÃO
1,Extorsão Consumado,UBERLANDIA,317020,10,2019,9,NÃO
0,Extorsão Mediante Sequestro Consumado,UBERLANDIA,317020,10,2019,9,NÃO
3,Extorsão Tentado,UBERLANDIA,317020,10,2019,9,NÃO
9,Homicídio Tentado,UBERLANDIA,317020,10,2019,9,NÃO
